"","order_item_id","item_id","item_price","user_reg_date","childrensize","nodelivery","present","waitingtime","lowprice","xmas","newyears","age","oldppl","noitems","noorders","prebd","female","male","difforder","preorders"
"15793",115793,1547,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,1
"18618",118618,1469,59.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,96
"18619",118619,1470,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,96
"18620",118620,1470,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,13
"18621",118621,1470,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,13
"18622",118622,1470,39.9,2016-01-23,0,0,0,0,0,0,0,50,0,5,2,0,1,0,0,12
"16633",116633,1740,79.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-900
"16634",116634,1501,129.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-900
"16635",116635,1847,89.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-900
"16636",116636,1960,49.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-900
"16637",116637,1661,119.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-971
"16638",116638,1469,59.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-974
"16639",116639,1469,59.9,2016-03-20,0,0,0,0,0,0,0,61,0,11,2,0,1,0,0,-974
"16640",116640,1664,24.9,2016-03-20,0,1,0,-99,0,0,-99,61,0,11,2,-99,1,0,0,-99
"16641",116641,1604,39.9,2016-03-20,0,1,0,-99,0,0,-99,61,0,11,2,-99,1,0,0,-99
"16642",116642,1507,24.9,2016-03-20,0,1,0,-99,0,0,-99,61,0,11,2,-99,1,0,0,-99
"16643",116643,1505,49.9,2016-03-20,0,1,0,-99,0,0,-99,61,0,11,2,-99,1,0,0,-99
"37233",137233,1816,129.9,2016-03-20,0,0,0,0,0,0,0,61,0,1,2,0,1,0,1,-995
"18526",118526,1838,99.9,2015-10-18,0,0,0,0,0,0,0,53,0,1,2,0,1,0,0,-618
"42998",142998,1942,149.9,2015-10-18,0,0,0,0,0,1,0,53,0,4,2,0,1,0,0,-792
"42999",142999,2040,179.95,2015-10-18,0,0,0,0,0,1,0,53,0,4,2,0,1,0,0,-792
"43000",143000,2132,140,2015-10-18,0,1,0,-99,0,1,-99,53,0,4,2,-99,1,0,0,-99
"43001",143001,1824,99.95,2015-10-18,0,1,0,-99,0,1,-99,53,0,4,2,-99,1,0,0,-99
"24556",124556,1484,149.9,2016-09-26,0,0,0,0,0,0,0,66,0,1,1,0,1,0,0,-628
"42475",142475,1417,23.9,2016-03-31,0,0,0,0,1,1,0,65,0,3,1,0,1,0,0,-891
"42476",142476,124,19.9,2016-03-31,0,0,0,0,1,1,0,65,0,3,1,0,1,0,0,-891
"42477",142477,1651,26.9,2016-03-31,0,0,0,0,0,1,0,65,0,3,1,0,1,0,0,-900
"37257",137257,415,69.9,2015-02-17,0,0,0,0,0,0,0,66,0,2,1,1,1,0,0,-1
"37258",137258,415,69.9,2015-02-17,0,0,0,0,0,0,0,66,0,2,1,1,1,0,0,-1
"32916",132916,1657,149.9,2016-11-19,0,0,0,0,0,0,0,67,0,1,1,0,1,0,0,108
"20759",120759,1919,29.9,2016-03-31,0,0,0,0,0,0,0,68,0,1,1,0,1,0,0,-81
"10698",110698,1791,179.9,2015-02-17,0,0,0,0,0,0,0,29,0,3,1,0,1,0,0,-495
"10699",110699,1781,159.9,2015-02-17,0,0,0,0,0,0,0,29,0,3,1,0,1,0,0,-495
"10700",110700,1925,179.9,2015-02-17,0,0,0,0,0,0,0,29,0,3,1,0,1,0,0,-495
"27146",127146,1530,79.9,2016-02-29,0,0,0,0,0,0,0,55,0,6,4,0,1,0,0,-87
"27147",127147,2245,99.9,2016-02-29,0,0,0,0,0,0,0,55,0,6,4,0,1,0,0,-87
"27148",127148,2245,99.9,2016-02-29,0,0,0,0,0,0,0,55,0,6,4,0,1,0,0,-87
"27149",127149,1519,49.9,2016-02-29,0,0,0,0,0,0,0,55,0,6,4,0,1,0,0,-192
"27150",127150,1748,14.9,2016-02-29,0,0,0,0,1,0,0,55,0,6,4,0,1,0,0,-192
"27151",127151,1748,14.9,2016-02-29,0,0,0,0,1,0,0,55,0,6,4,0,1,0,0,-196
"34109",134109,2080,119.9,2016-02-29,0,0,0,0,0,0,0,55,0,2,4,0,1,0,1,-95
"34110",134110,1513,79.9,2016-02-29,0,0,0,0,0,0,0,55,0,2,4,0,1,0,0,922
"39401",139401,2080,119.9,2016-02-29,0,0,0,0,0,0,0,55,0,1,4,0,1,0,1,-103
"49032",149032,1482,29.9,2016-02-29,0,0,0,0,0,1,0,55,0,4,4,0,1,0,1,-187
"49033",149033,2248,24.9,2016-02-29,0,0,0,0,0,1,0,55,0,4,4,0,1,0,0,-187
"49034",149034,1807,198,2016-02-29,0,0,0,0,0,1,0,55,0,4,4,0,1,0,0,-187
"49035",149035,1894,45.9,2016-02-29,0,0,0,0,0,1,0,55,0,4,4,0,1,0,0,-187
"27063",127063,1777,99.95,2016-06-16,0,0,0,0,0,0,0,-99,-99,4,1,-99,1,0,0,-99
"27064",127064,1777,99.95,2016-06-16,0,0,0,0,0,0,0,-99,-99,4,1,-99,1,0,0,-99
"27065",127065,1492,39.9,2016-06-16,0,0,0,0,0,0,0,-99,-99,4,1,-99,1,0,0,-99
"27066",127066,1492,39.9,2016-06-16,0,0,0,0,0,0,0,-99,-99,4,1,-99,1,0,0,-99
"9668",109668,1472,0,2016-05-12,0,0,1,0,1,0,0,61,0,1,1,0,1,0,0,-796
"34224",134224,1816,129.9,2015-02-17,0,0,0,0,0,0,0,53,0,1,3,1,1,0,0,-5
"34833",134833,1698,129.9,2015-02-17,0,0,0,0,0,0,0,53,0,1,3,0,1,0,0,1013
"45947",145947,1816,129.9,2015-02-17,0,0,0,0,0,1,0,53,0,2,3,0,1,0,1,-95
"45948",145948,2066,119.9,2015-02-17,0,0,0,0,0,1,0,53,0,2,3,0,1,0,0,-95
"22032",122032,1760,49.9,2015-02-17,0,0,0,0,0,0,0,48,0,2,2,0,1,0,0,-202
"22033",122033,1760,49.9,2015-02-17,0,0,0,0,0,0,0,48,0,2,2,0,1,0,0,-202
"37574",137574,1560,169.9,2015-02-17,0,0,0,0,0,0,0,48,0,1,2,0,1,0,1,-224
"22259",122259,1606,179.9,2016-07-26,0,0,0,0,0,0,0,63,0,2,3,0,1,0,0,-401
"22260",122260,1697,99.95,2016-07-26,0,0,0,0,0,0,0,63,0,2,3,0,1,0,0,-515
"34107",134107,1556,79.9,2016-07-26,0,0,0,0,0,0,0,63,0,2,3,0,1,0,1,-415
"34108",134108,1924,199.9,2016-07-26,0,0,0,0,0,0,0,63,0,2,3,0,1,0,0,-415
"46862",146862,1620,49.9,2016-07-26,0,0,0,0,0,1,0,63,0,2,3,0,1,0,1,-506
"46863",146863,1620,49.9,2016-07-26,0,0,0,0,0,1,0,63,0,2,3,0,1,0,0,-506
"17857",117857,1470,39.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17858",117858,1470,39.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17859",117859,1518,39.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17860",117860,1401,26.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17861",117861,1401,26.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17862",117862,1760,49.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17863",117863,1622,59.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17864",117864,1642,59.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17865",117865,1879,79.9,2016-03-26,0,0,0,0,0,0,0,47,0,11,1,0,1,0,0,-528
"17866",117866,1487,59.9,2016-03-26,0,1,0,-99,0,0,-99,47,0,11,1,-99,1,0,0,-99
"17867",117867,1518,39.9,2016-03-26,0,1,0,-99,0,0,-99,47,0,11,1,-99,1,0,0,-99
"28102",128102,1682,49.9,2015-02-17,0,0,0,0,0,0,0,65,0,3,1,0,1,0,0,-805
"28103",128103,1447,6.95,2015-02-17,0,0,0,0,1,0,0,65,0,3,1,0,1,0,0,-805
"28104",128104,1748,14.9,2015-02-17,0,0,0,0,1,0,0,65,0,3,1,0,1,0,0,-909
"33064",133064,498,49.9,2016-03-31,0,0,0,0,0,0,0,-99,-99,1,1,-99,1,0,0,-99
"11588",111588,1656,49.9,2015-02-17,0,0,0,0,0,0,0,59,0,4,2,0,1,0,0,-408
"11589",111589,1702,99.9,2015-02-17,0,0,0,0,0,0,0,59,0,4,2,0,1,0,0,-489
"11590",111590,1788,119.9,2015-02-17,0,0,0,0,0,0,0,59,0,4,2,0,1,0,0,-492
"11591",111591,1656,49.9,2015-02-17,0,1,0,-99,0,0,-99,59,0,4,2,-99,1,0,0,-99
"47391",147391,1667,79.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,2,0,1,0,0,-595
"47392",147392,1623,29.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,2,0,1,0,0,-595
"47393",147393,1623,29.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,2,0,1,0,0,-595
"46789",146789,1777,99.95,2015-02-17,0,0,0,0,0,1,0,63,0,4,1,0,1,0,0,-1002
"46790",146790,1777,99.95,2015-02-17,0,0,0,0,0,1,0,63,0,4,1,0,1,0,0,-1002
"46791",146791,2116,90,2015-02-17,0,0,0,0,0,1,0,63,0,4,1,0,1,0,0,-1002
"46792",146792,2116,90,2015-02-17,0,0,0,0,0,1,0,63,0,4,1,0,1,0,0,-1002
"18588",118588,1546,29.9,2015-02-17,0,0,0,0,0,0,0,53,0,2,2,0,1,0,0,-1000
"18589",118589,1667,79.9,2015-02-17,0,0,0,0,0,0,0,53,0,2,2,0,1,0,0,-1006
"30157",130157,1958,69.9,2015-02-17,0,0,0,0,0,0,0,53,0,5,2,0,1,0,1,-1010
"30158",130158,1471,69.9,2015-02-17,0,0,0,0,0,0,0,53,0,5,2,0,1,0,0,-1010
"30159",130159,1637,69.9,2015-02-17,0,0,0,0,0,0,0,53,0,5,2,0,1,0,0,-1010
"30160",130160,1667,79.9,2015-02-17,0,0,0,0,0,0,0,53,0,5,2,0,1,0,0,-1016
"30161",130161,1716,89.9,2015-02-17,0,0,0,0,0,0,0,53,0,5,2,0,1,0,0,-1114
"28971",128971,1607,59.9,2015-02-17,0,0,0,0,0,0,0,68,0,1,2,0,1,0,0,-1012
"34415",134415,1485,149.9,2015-02-17,0,0,0,0,0,0,0,68,0,2,2,0,1,0,0,-1116
"34416",134416,1806,16.9,2015-02-17,0,0,0,0,1,0,0,68,0,2,2,0,1,0,0,-1116
"13523",113523,1532,26.9,2016-03-19,0,0,0,0,0,0,0,-99,-99,3,1,-99,1,0,0,-99
"13524",113524,1532,26.9,2016-03-19,0,0,0,0,0,0,0,-99,-99,3,1,-99,1,0,0,-99
"13525",113525,1532,26.9,2016-03-19,0,1,0,-99,0,0,-99,-99,-99,3,1,-99,1,0,0,-99
"12339",112339,1697,99.95,2015-02-17,0,0,0,0,0,0,0,119,0,2,2,0,1,0,0,-978
"12340",112340,1697,99.95,2015-02-17,0,1,0,-99,0,0,-99,119,0,2,2,-99,1,0,0,-99
"36347",136347,1415,21.9,2015-02-17,0,0,0,0,1,0,0,119,0,4,2,0,1,0,0,-999
"36348",136348,1415,21.9,2015-02-17,0,0,0,0,1,0,0,119,0,4,2,0,1,0,0,-999
"36349",136349,1415,21.9,2015-02-17,0,0,0,0,1,0,0,119,0,4,2,0,1,0,0,-999
"36350",136350,1415,21.9,2015-02-17,0,0,0,0,1,0,0,119,0,4,2,0,1,0,0,-1079
"6002",106002,2243,39.9,2015-02-17,0,0,0,0,0,0,0,61,0,2,1,0,1,0,0,-222
"6003",106003,1788,119.9,2015-02-17,0,0,0,0,0,0,0,61,0,2,1,0,1,0,0,-317
"31430",131430,1922,159.9,2016-03-14,0,0,0,0,0,0,0,57,0,2,1,0,1,0,0,-595
"31431",131431,1613,199.9,2016-03-14,0,0,0,0,0,0,0,57,0,2,1,0,1,0,0,-595
"44661",144661,1644,119.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,1,0,1,0,0,-789
"44662",144662,1644,119.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,1,0,1,0,0,-789
"44663",144663,1644,119.9,2015-02-17,0,0,0,0,0,1,0,59,0,3,1,0,1,0,0,-793
"1601",101601,1667,79.9,2015-08-18,0,0,0,0,0,0,0,66,0,2,1,0,1,0,0,-498
"1602",101602,235,39.9,2015-08-18,0,0,0,0,0,0,0,66,0,2,1,0,1,0,0,-498
"4645",104645,2064,179.9,2015-02-17,0,0,0,0,0,0,0,61,0,3,1,0,1,0,0,-790
"4646",104646,2109,129.9,2015-02-17,0,0,0,0,0,0,0,61,0,3,1,0,1,0,0,-797
"4647",104647,2109,129.9,2015-02-17,0,0,0,0,0,0,0,61,0,3,1,0,1,0,0,-797
"38346",138346,1648,115,2015-02-17,0,0,0,0,0,0,0,55,0,2,1,0,1,0,0,89
"38347",138347,1538,89.95,2015-02-17,0,0,0,0,0,0,0,55,0,2,1,0,1,0,0,89
"6299",106299,1576,89.9,2016-02-27,0,0,0,0,0,0,0,-99,-99,2,1,-99,1,0,0,-99
"6300",106300,1556,79.9,2016-02-27,0,0,0,0,0,0,0,-99,-99,2,1,-99,1,0,0,-99
"6780",106780,1470,39.9,2015-09-23,0,0,0,0,0,0,0,62,0,4,1,0,1,0,0,-318
"6781",106781,1470,39.9,2015-09-23,0,0,0,0,0,0,0,62,0,4,1,0,1,0,0,-322
"6782",106782,1607,59.9,2015-09-23,0,0,0,0,0,0,0,62,0,4,1,0,1,0,0,-400
"6783",106783,1470,39.9,2015-09-23,0,1,0,-99,0,0,-99,62,0,4,1,-99,1,0,0,-99
"16997",116997,1409,21.9,2016-10-29,0,0,0,0,1,0,0,-99,-99,5,1,-99,1,0,0,-99
"16998",116998,1532,26.9,2016-10-29,0,0,0,0,0,0,0,-99,-99,5,1,-99,1,0,0,-99
"16999",116999,1532,26.9,2016-10-29,0,0,0,0,0,0,0,-99,-99,5,1,-99,1,0,0,-99
"17000",117000,1815,159.9,2016-10-29,0,0,0,0,0,0,0,-99,-99,5,1,-99,1,0,0,-99
"17001",117001,1519,49.9,2016-10-29,0,0,0,0,0,0,0,-99,-99,5,1,-99,1,0,0,-99
"24070",124070,1596,169.9,2016-02-28,0,0,0,0,0,0,0,-99,-99,2,2,-99,1,0,0,-99
"24071",124071,1596,169.9,2016-02-28,0,0,0,0,0,0,0,-99,-99,2,2,-99,1,0,0,-99
"40051",140051,2169,130,2016-02-28,0,0,0,0,0,0,0,-99,-99,3,2,-99,1,0,1,-99
"40052",140052,1771,120,2016-02-28,0,0,0,0,0,0,0,-99,-99,3,2,-99,1,0,0,-99
"40053",140053,1609,179.9,2016-02-28,0,1,0,-99,0,0,-99,-99,-99,3,2,-99,1,0,0,-99
"7595",107595,2065,19.9,2016-03-31,0,0,0,0,1,0,0,39,0,2,1,0,1,0,0,-397
"7596",107596,1762,19.9,2016-03-31,0,0,0,0,1,0,0,39,0,2,1,0,1,0,0,-397
"6021",106021,1469,59.9,2015-03-08,0,0,0,0,0,0,0,54,0,1,1,0,1,0,0,-499
"36660",136660,1470,39.9,2015-08-23,0,0,0,0,0,0,0,51,0,5,1,0,1,0,0,-197
"36661",136661,1512,29.9,2015-08-23,0,0,0,0,0,0,0,51,0,5,1,0,1,0,0,-197
"36662",136662,1871,9.9,2015-08-23,0,0,0,0,1,0,0,51,0,5,1,0,1,0,0,-197
"36663",136663,1440,69.9,2015-08-23,0,0,0,0,0,0,0,51,0,5,1,0,1,0,0,-197
"36664",136664,1444,59.9,2015-08-23,0,0,0,0,0,0,0,51,0,5,1,0,1,0,0,-197
"42981",142981,1864,110,2015-02-17,0,0,0,0,0,1,0,55,0,2,1,0,1,0,0,-877
"42982",142982,1922,119.9,2015-02-17,0,0,0,0,0,1,0,55,0,2,1,0,1,0,0,-886
"42912",142912,1851,39.9,2015-02-17,0,0,0,0,0,1,0,56,0,2,1,0,1,0,0,-774
"42913",142913,1445,49.9,2015-02-17,0,1,0,-99,0,1,-99,56,0,2,1,-99,1,0,0,-99
"14236",114236,154,17.9,2016-03-18,0,0,0,0,1,0,0,42,0,2,2,0,1,0,0,-211
"14237",114237,1535,39.9,2016-03-18,0,0,0,0,0,0,0,42,0,2,2,0,1,0,0,-211
"44491",144491,1669,89.9,2016-03-18,0,0,0,0,0,1,0,42,0,1,2,0,1,0,0,-391
"10766",110766,1866,220,2015-02-17,0,0,0,0,0,0,0,50,0,2,2,0,1,0,0,-115
"10767",110767,1546,29.9,2015-02-17,0,0,0,0,0,0,0,50,0,2,2,0,1,0,0,-312
"31349",131349,1698,129.9,2015-02-17,0,0,0,0,0,0,0,50,0,2,2,0,1,0,1,-211
"31350",131350,1581,149.9,2015-02-17,0,0,0,0,0,0,0,50,0,2,2,0,1,0,0,-211
"12242",112242,1919,29.9,2015-09-01,0,0,0,0,0,0,0,54,0,2,1,0,1,0,0,96
"12243",112243,1784,19.9,2015-09-01,0,0,0,0,1,0,0,54,0,2,1,0,1,0,0,96
"2519",102519,2244,59.9,2015-02-17,0,0,0,0,0,0,0,54,0,3,1,0,1,0,0,-417
"2520",102520,1439,9.95,2015-02-17,0,0,0,0,1,0,0,54,0,3,1,0,1,0,0,-417
"2521",102521,1748,14.9,2015-02-17,0,1,0,-99,1,0,-99,54,0,3,1,-99,1,0,0,-99
"41866",141866,1704,59.9,2016-12-02,0,0,0,0,0,1,0,51,0,2,1,0,1,0,0,821
"41867",141867,1498,59.9,2016-12-02,0,0,0,0,0,1,0,51,0,2,1,0,1,0,0,821
"1231",101231,1532,26.9,2015-02-17,0,0,0,0,0,0,0,53,0,3,1,0,1,0,0,-895
"1232",101232,1806,16.9,2015-02-17,0,0,0,0,1,0,0,53,0,3,1,0,1,0,0,-1004
"1233",101233,1806,16.9,2015-02-17,0,0,0,0,1,0,0,53,0,3,1,0,1,0,0,-1004
"35739",135739,1569,69.9,2016-03-03,0,0,0,0,0,0,0,56,0,4,1,1,1,0,0,-11
"35740",135740,1607,59.9,2016-03-03,0,0,0,0,0,0,0,56,0,4,1,1,1,0,0,-11
"35741",135741,1607,59.9,2016-03-03,0,0,0,0,0,0,0,56,0,4,1,1,1,0,0,-11
"35742",135742,1607,59.9,2016-03-03,0,0,0,0,0,0,0,56,0,4,1,1,1,0,0,-11
"49718",149718,2116,90,2016-03-24,0,0,0,0,0,1,0,60,0,1,1,0,1,0,0,-396
"32742",132742,255,17.9,2015-02-17,0,0,0,0,1,0,0,37,0,5,2,0,1,0,0,-1011
"32743",132743,279,19.9,2015-02-17,0,0,0,0,1,0,0,37,0,5,2,0,1,0,0,-1011
"32744",132744,1257,39.9,2015-02-17,0,0,0,0,0,0,0,37,0,5,2,0,1,0,0,-1011
"32745",132745,1703,79.9,2015-02-17,0,0,0,0,0,0,0,37,0,5,2,0,1,0,0,-1011
"32746",132746,1548,59.9,2015-02-17,0,0,0,0,0,0,0,37,0,5,2,0,1,0,0,-1017
"39753",139753,1445,59.9,2015-02-17,0,0,0,0,0,0,0,37,0,4,2,0,1,0,1,-1019
"39754",139754,1445,59.9,2015-02-17,0,0,0,0,0,0,0,37,0,4,2,0,1,0,0,-1019
"39755",139755,1512,24.9,2015-02-17,0,0,0,0,0,0,0,37,0,4,2,0,1,0,0,-1019
"39756",139756,1504,99.9,2015-02-17,0,0,0,0,0,0,0,37,0,4,2,0,1,0,0,-1019
"39459",139459,1517,69.9,2015-08-26,0,0,0,0,0,0,0,119,0,1,3,1,1,0,0,-7
"43381",143381,1517,69.9,2015-08-26,0,0,0,0,0,1,0,119,0,1,3,0,1,0,0,-83
"44610",144610,1517,69.9,2015-08-26,0,0,0,0,0,1,0,119,0,1,3,0,1,0,0,-85
"30751",130751,498,49.9,2015-02-17,0,0,0,0,0,0,0,64,0,1,1,0,1,0,0,-891
"19528",119528,1826,100,2015-02-17,0,0,0,0,0,0,0,58,0,1,1,0,1,0,0,14
"665",100665,2105,19.9,2015-02-17,0,0,0,0,1,0,0,52,0,10,2,0,1,0,0,-195
"666",100666,1691,49.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"667",100667,1772,139.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"668",100668,1772,139.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"669",100669,1838,99.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"670",100670,1838,99.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"671",100671,57,24.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-195
"672",100672,1473,19.9,2015-02-17,0,0,0,0,1,0,0,52,0,10,2,0,1,0,0,-200
"673",100673,1473,19.9,2015-02-17,0,0,0,0,1,0,0,52,0,10,2,0,1,0,0,-200
"674",100674,498,49.9,2015-02-17,0,0,0,0,0,0,0,52,0,10,2,0,1,0,0,-388
"33973",133973,2047,179.9,2015-02-17,0,0,0,0,0,0,0,52,0,3,2,0,1,0,0,-298
"33974",133974,2193,99,2015-02-17,0,0,0,0,0,0,0,52,0,3,2,0,1,0,0,-298
"33975",133975,2201,99,2015-02-17,0,0,0,0,0,0,0,52,0,3,2,0,1,0,0,-298
"9319",109319,1505,49.9,2016-03-04,0,0,0,0,0,0,0,65,0,2,1,0,1,0,0,-603
"9320",109320,1576,89.9,2016-03-04,0,1,0,-99,0,0,-99,65,0,2,1,-99,1,0,0,-99
"43217",143217,1626,134.9,2016-10-13,0,0,0,0,0,1,0,55,0,2,1,0,1,0,0,500
"43218",143218,1626,134.9,2016-10-13,0,0,0,0,0,1,0,55,0,2,1,0,1,0,0,500
"41870",141870,1532,26.9,2016-04-19,0,1,0,-99,0,1,-99,56,0,2,1,-99,1,0,0,-99
"41871",141871,1532,26.9,2016-04-19,0,1,0,-99,0,1,-99,56,0,2,1,-99,1,0,0,-99
"24798",124798,238,49.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24799",124799,273,69.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24800",124800,395,129.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24801",124801,921,39.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24802",124802,984,19.9,2015-02-17,0,0,0,0,1,0,0,55,0,10,1,0,1,0,0,-596
"24803",124803,1139,44.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24804",124804,1681,69.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-596
"24805",124805,1514,69.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-694
"24806",124806,1514,69.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-696
"24807",124807,1900,69.9,2015-02-17,0,0,0,0,0,0,0,55,0,10,1,0,1,0,0,-696
"46416",146416,1709,149.9,2016-02-16,0,0,0,0,0,1,0,62,0,1,1,0,1,0,0,-481
"9030",109030,1474,59.9,2016-10-22,0,0,0,0,0,0,0,63,0,15,2,0,1,0,0,-193
"9031",109031,1981,49.9,2016-10-22,0,0,0,0,0,0,0,63,0,15,2,0,1,0,0,-193
"9032",109032,1500,69.9,2016-10-22,0,0,0,0,0,0,0,63,0,15,2,0,1,0,0,-193
"9033",109033,1471,69.9,2016-10-22,0,0,0,0,0,0,0,63,0,15,2,0,1,0,0,-193
